gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora
2024-11-17 18:42:13,TXT_2_IMG,SUCCEED,24.0,G0000,84.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:44:39,TXT_2_IMG,SUCCEED,28.0,G0000,49.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:44:50,TXT_2_IMG,SUCCEED,20.0,G0000,78.0,26.0,4.0,30.0,M0000,0
2024-11-17 18:51:07,TXT_2_IMG,SUCCEED,19.0,G0023,22.0,26.0,1.0,30.0,M0004,0
2024-11-17 19:36:18,TXT_2_IMG,SUCCEED,26.0,G0024,53.0,26.0,1.0,30.0,M0002,0
2024-11-17 19:37:14,TXT_2_IMG,SUCCEED,24.0,G0024,53.0,26.0,1.0,30.0,M0002,0
2024-11-17 19:38:05,TXT_2_IMG,SUCCEED,21.0,G0024,55.0,26.0,1.0,30.0,M0002,0
2024-11-17 19:39:43,TXT_2_IMG,SUCCEED,23.0,G0024,55.0,26.0,1.0,30.0,M0006,0
2024-11-17 19:40:19,TXT_2_IMG,SUCCEED,13.0,G0024,62.0,26.0,1.0,30.0,M0002,0
2024-11-17 21:30:24,TXT_2_IMG,SUCCEED,42.0,G0025,6.0,26.0,1.0,40.0,M0001,0
2024-11-17 21:30:33,TXT_2_IMG,SUCCEED,21.0,G0026,80.0,26.0,1.0,30.0,M0000,0
2024-11-17 21:31:20,TXT_2_IMG,SUCCEED,28.0,G0027,59.0,26.0,4.0,30.0,M0002,0
2024-11-17 21:31:24,TXT_2_IMG,SUCCEED,15.0,G0026,65.0,26.0,1.0,30.0,M0000,0
2024-11-17 21:31:41,TXT_2_IMG,SUCCEED,40.0,G0025,6.0,26.0,1.0,40.0,M0001,0
2024-11-17 21:32:04,TXT_2_IMG,SUCCEED,23.0,G0026,67.0,26.0,1.0,30.0,M0000,0
2024-11-17 21:32:50,TXT_2_IMG,SUCCEED,22.0,G0027,57.0,26.0,4.0,30.0,M0002,0
2024-11-17 21:33:13,TXT_2_IMG,SUCCEED,17.0,G0025,8.0,26.0,1.0,40.0,M0001,0
2024-11-17 21:33:34,TXT_2_IMG,SUCCEED,32.0,G0027,63.0,26.0,4.0,30.0,M0000,0
2024-11-17 21:33:44,TXT_2_IMG,SUCCEED,16.0,G0026,67.0,26.0,1.0,30.0,M0002,0
2024-11-17 21:34:05,TXT_2_IMG,SUCCEED,22.0,G0028,50.0,26.0,1.0,30.0,M0014,0
